시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
F10,광주광역시교육청,동구,교습소,3000013793,5차원전면학습국어논술교습소,20180523,20180518,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,국어논술(고등),보습·논술,"국어논술(고등):210000, 국어논술(초등)A:140000, 국어논술(초등)B:180000, 국어논술(중등):170000",Y,N,광주광역시 동구 무등로375번길 22,", 2층 (계림동)",61404,,20260208
F10,광주광역시교육청,동구,교습소,3000015214,ALL(올)바른수학교습소,20220215,20220215,개원,        ,99991231,16,7,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:200000, 초등수학B:180000, 초등수학C:120000, 중등수학A:250000, 중등수학B:210000, 중등수학C:170000, 고등수학A:300000, 고등수학B:260000, 고등수학C:220000",Y,N,광주광역시 동구 경양로 336,", 4층 전체 (산수동)",61432,,20241222
F10,전남광주통합특별시교육청(광주),동구,교습소,3000020317,Jessie English(제시잉글리시)영어교습소,20260706,20260706,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,전남광주통합특별시 동구 육판서길 17,"1층 106호(내남동,내남지구2차진아리채)",61514,010-8507-1025,20260712
F10,광주광역시교육청,동구,교습소,3000014671,감성미술교습소,20200625,20200625,개원,        ,99991231,42,7,예능(대),예능(중),,미술, ,Y,N,광주광역시 동구 육판서길 17,", 상가동 207호 (내남동, 내남지구2차진아리채)",61514,062-234-5002,20231018
F10,광주광역시교육청,동구,교습소,3000015217,관악수학교습소,20220217,20220217,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,수학(초등)A,보습,"수학(초등)A:200000, 수학(초등)B:200000, 수학(중등)A:220000, 수학(중등)B:230000, 수학(고등)A:300000, 수학(고등)B:310000",Y,N,광주광역시 동구 경양로 234,", 상가 108동 432호 (계림동, 그랜드센트럴)",61424,null,20241222
F10,광주광역시교육청,동구,교습소,3000019944,국어문해력독서배가속독국어교습소,20250526,20250526,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,독서문해력(초등),보습,"독서문해력(초등):130000, 독서문해력(중등):130000",Y, ,광주광역시 동구 용산3길 10,(용산동) 1층 일부,61508,,20250817
F10,전남광주통합특별시교육청(광주),동구,교습소,3000020316,국자감국어자신감국어교습소,20260706,20260706,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,전남광주통합특별시 동구 중앙로290번길 16,"상가 112호(2층12호)(계림동,두산위브더파크)",61413,010-4606-7428,20260712
F10,광주광역시교육청,동구,교습소,867,그림그리는집미술교습소,20020525,20020525,개원,        ,99991231,9,9,예능(대),예능(중),미술(초급B),미술,"미술(초급B):150000, 미술(중급A):100000, 미술(초급A):80000",Y,N,광주광역시 동구 무등로 374,", 두산위브 상가 303, 304, 305호 (계림동, 두산위브)",61412,062-523-5709,20260412
F10,광주광역시교육청,동구,교습소,4841,김미숙클래스음악교습소,20071116,20071116,개원,        ,99991231,30,5,예능(대),예능(중),피아노초급,음악,"피아노초급:130000, 피아노중급:140000, 피아노고급:150000, 플루트초급:130000, 플루트중급:140000, 플루트고급:150000",Y,N,광주광역시 동구 무등로 374,", 두산위브상가 301호,302호(3층) (계림동,두산위브)",501750,062-225-0669,20250202
F10,광주광역시교육청,동구,교습소,3000012203,김수지논술교습소,20150318,20150318,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,초등논술A,보습,"초등논술A:150000, 초등논술B:160000, 중등논술A:180000, 중등논술B:200000, 고등논술A:250000, 고등논술B:270000",Y,N,광주광역시 동구 밤실로 147,", 313호 (산수동, 두암타운)",501752,null,20240609
