연번,보험구분,사업장명,사업장우편번호,사업장주소,고용보험 업종코드,고용보험 업종명,산재보험 성립일자,고용보험 성립일자,산재보험 상시근로자수,고용보험 상시근로자수,산재보험 사업구분,고용보험 사업구분,사업자등록번호,사업장관리번호,고용보험 업종코드(제11차),고용보험 업종명(제11차)
737765,0,광주광역시 동구청소년문화의집,61411,동구 필문대로171번길 1-17,85614,청소년 수련시설 운영업,45017,45017,7,7,계속,계속,2558200514,25582005140,85614,청소년 수련시설 운영업
989112,0,주식회사 동인시스템,61488,광주 동구,47912,전자상거래 소매업,44682,44682,15,14,계속,계속,3508702734,35087027340,47912,전자상거래 소매업
368242,0,무진하우징,61407,광주 동구 갈마로  12,42412,"도배, 실내장식 및 내장 목공사업",45393,45393,1,1,일괄유기,일괄유기,1391103674,13911036746,42412,"도배, 실내장식 및 내장 목공사업"
124534,0,제인한의원,61409,광주 동구 갈마로 46,86203,한의원,43801,43801,2,2,계속,계속,1179201073,11792010730,86203,한의원
205136,0,파리바게트두암타운점,61409,광주 동구 갈마로 46,56150,제과점업,43101,43101,7,7,계속,계속,1254500237,12545002370,56150,제과점업
350150,0,두암개발,61409,광주 동구 갈마로 46,68112,비주거용 건물 임대업,42705,42705,1,1,계속,계속,1375700140,13757001400,68112,비주거용 건물 임대업
465566,0,두암한방병원,61409,광주 동구 갈마로 46,86104,한방 병원,43228,43228,42,42,계속,계속,1809400703,18094007030,86104,한방 병원
828761,0,메가엠지씨커피 광주두암사거리점,61409,광주 동구 갈마로 46,56221,커피 전문점,45813,45813,1,1,계속,계속,3023301655,30233016550,56221,커피 전문점
820321,0,배스킨라빈스 광주두암점,61409,광주 동구 갈마로 48,56199,간이음식 포장 판매 전문점,44081,44081,6,6,계속,계속,3015200372,30152003720,56199,간이음식 포장 판매 전문점
555229,0,명품상무팥죽두암점,61409,광주 동구 갈마로 50,56111,한식 일반 음식점업,43872,43872,1,1,계속,계속,2093112897,20931128970,56111,한식 일반 음식점업
790317,0,비젼골프존,61409,광주 동구 갈마로 56,91136,골프연습장 운영업,44682,44682,1,1,계속,계속,2850902320,28509023200,91136,골프연습장 운영업
923575,0,씨유산수그린점,61409,광주 동구 갈마로 58,47122,체인화 편의점,44867,44867,7,7,계속,계속,3162201774,31622017740,47122,체인화 편의점
944842,0,바른까페,61409,광주 동구 갈마로 58,56221,커피 전문점,44621,44621,2,2,계속,계속,3250402448,32504024480,56221,커피 전문점
123013,0,주식회사 유은플러스,61424,광주 동구 경양로  234,41999,건설업본사,43740,43740,4,4,계속,계속,1178192224,11781922240,41999,건설업본사
507503,1,동성인테리어,61423,광주 동구 경양로  269,,,45071,,1,0,일괄유기,,2020799957,20207999576,,
498247,0,남평부영식육점광주본점,61421,광주 동구 경양로 215,47212,육류 소매업,45170,45170,17,17,계속,계속,1999901434,19999014340,47212,육류 소매업
941694,0,피자풀(PIZZAFULL)동구점,61428,광주 동구 경양로 270,56161,"피자, 햄버거, 샌드위치 및 유사 음식점업",45323,45323,1,1,계속,계속,3231802167,32318021670,56161,"피자, 햄버거, 샌드위치 및 유사 음식점업"
543730,0,씨유광주산수점,61430,광주 동구 경양로 322,47122,체인화 편의점,42580,42580,3,3,계속,계속,2071793302,20717933020,47122,체인화 편의점
680482,0,푸른길약국,61417,광주 동구 경양로 349,47811,의약품 및 의료용품 소매업,44823,44823,1,1,계속,계속,2271652346,22716523460,47811,의약품 및 의료용품 소매업
156412,0,건강녹즙,61433,광주 동구 경양로 372-1,46319,기타 신선식품 및 단순 가공식품 도매업,45111,45111,1,1,계속,계속,1217700027,12177000270,46319,기타 신선식품 및 단순 가공식품 도매업
396620,0,뭉몽만남,61433,광주 동구 경양로 374,56221,커피 전문점,45352,45352,1,1,계속,계속,1432001866,14320018660,56221,커피 전문점
967233,0,건양씨푸드냉동,61418,광주 동구 경양로 377-1,47214,"신선, 냉동 및 기타 수산물 소매업",44256,44256,1,1,계속,계속,3379801039,33798010390,47214,"신선, 냉동 및 기타 수산물 소매업"
58323,0,그랜드공인중개사사무소,61421,광주 동구 경양로217번길 1,68221,부동산 중개 및 대리업,43901,43901,1,1,계속,계속,1081128481,10811284810,68221,부동산 중개 및 대리업
350053,0,좋은온누리약국,61421,광주 동구 경양로235번길 1,47811,의약품 및 의료용품 소매업,44965,44965,3,3,계속,계속,1374401042,13744010420,47811,의약품 및 의료용품 소매업
578317,0,강덕화치과의원,61421,광주 동구 경양로235번길 1,86202,치과 의원,44789,44789,3,3,계속,계속,2119670507,21196705070,86202,치과 의원
833889,0,CU광주센트럴점,61421,광주 동구 경양로235번길 1,47122,체인화 편의점,44788,44788,6,6,계속,계속,3032262192,30322621920,47122,체인화 편의점
877257,0,메가엠지씨커피 광주계림센트럴점,61421,광주 동구 경양로235번길 1,56221,커피 전문점,45554,45554,6,6,계속,계속,3101094248,31010942480,56221,커피 전문점
552075,0,(유)건호기업,61423,광주 동구 경양로259번길  21,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,43862,43862,4,4,계속,계속,2088801616,20888016160,25999,그 외 기타 분류 안된 금속 가공 제품 제조업
496471,0,유캔두잇2영어학원,61415,광주 동구 경양로305번길 11,85631,외국어학원,45103,45103,2,2,계속,계속,1989801623,19898016230,85631,외국어학원
146056,0,광주충장베이스볼클럽,61418,광주 동구 경양로379번길 19,85612,기타 스포츠 교육기관,44621,44621,2,2,계속,계속,1208276213,12082762130,85612,기타 스포츠 교육기관
400397,0,용흥상사,61421,광주 동구 무등로306번길 27,47599,그 외 기타 분류 안된 가정용품 소매업,43070,43070,1,1,계속,계속,1440500509,14405005090,47599,그 외 기타 분류 안된 가정용품 소매업
733993,0,더블유유통계림점,61421,광주 동구 계림동,47121,슈퍼마켓,44228,44228,2,2,계속,계속,2536300536,25363005360,47121,슈퍼마켓
924878,0,(주)이스터건설,61413,광주 동구 계림로 5-1,42499,그 외 기타 건축 마무리 공사업,40981,40981,2,1,일괄유기,일괄유기,3168118501,31681185016,42499,그 외 기타 건축 마무리 공사업
425344,0,기살림빛고을사회적협동조합,61415,광주 동구 계림로20번길 13,87299,그 외 기타 비거주 복지 서비스업,44105,44105,3,3,계속,계속,1578200281,15782002810,87299,그 외 기타 비거주 복지 서비스업
991918,0,두산위브어린이집,61414,광주 동구 계림로30번길 15,87210,보육시설 운영업,43711,43711,8,8,계속,계속,3528001523,35280015230,87210,보육시설 운영업
557663,1,민물장어양식수산업협동조합 광주금융센터,61480,광주 동구 구성로 156-1,,,45293,,9,0,계속,,2098212676,20982126760,,
107762,0,비트원,61480,광주 동구 구성로 156-5,42412,"도배, 실내장식 및 내장 목공사업",44972,44972,1,1,일괄유기,일괄유기,1145800557,11458005576,42412,"도배, 실내장식 및 내장 목공사업"
114625,0,티카페(T-cafe),61477,광주 동구 구성로 159,56221,커피 전문점,44200,44200,1,1,계속,계속,1161201627,11612016270,56221,커피 전문점
772251,0,사)광주귀금속보석기술협회,61480,광주 동구 구성로 162-1,94990,그 외 기타 협회 및 단체,45292,45292,1,1,계속,계속,2748200553,27482005530,94990,그 외 기타 협회 및 단체
411631,0,세무법인선앤문충장로지점,61480,광주 동구 구성로 166,71202,세무사업,45292,45292,3,3,계속,계속,1498502367,14985023670,71202,세무사업
563209,0,충장공원지역주택조합추진위원회,61481,광주 동구 구성로 168-1,68121,주거용 건물 개발 및 공급업,44385,44385,1,1,계속,계속,2108020361,21080203610,68121,주거용 건물 개발 및 공급업
418604,0,(주)광주에어,61472,광주 동구 구성로 180,75210,여행사업,43191,43191,1,0,계속,계속,1538600628,15386006280,75210,여행사업
735949,0,딕스어스광주(주),61472,광주 동구 구성로 180,75992,"전시, 컨벤션 및 행사 대행업",45173,45173,1,1,계속,계속,2548102040,25481020400,75992,"전시, 컨벤션 및 행사 대행업"
688611,0,(주)아파트너스,61472,광주 동구 구성로 190,71531,경영 컨설팅업,42528,42528,23,23,계속,계속,2298140617,22981406170,71531,경영 컨설팅업
418969,0,에스에이치코리아 유한회사,61473,광주 동구 구성로 194-1,46107,그 외 기타 특정 상품 중개업,45659,45659,7,7,계속,계속,1538802784,15388027840,46107,그 외 기타 특정 상품 중개업
472268,0,하오주식회사,61426,광주 동구 구성로 215,47911,전자상거래 소매 중개업,45121,45121,2,2,계속,계속,1848802492,18488024920,47911,전자상거래 소매 중개업
