상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
24328696,스위스약국,,S,의료,S02,약국/한약방,S02A01,약국,G47811,의약품 및 의료용품 소매업,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,100,1,광주광역시 동구 계림동 100-1,2.91E+11,광주광역시 동구 필문대로,12,7,2.91E+24,금호타운,광주광역시 동구 필문대로 12-7,501080,61402,,1,122,126.9211363,35.16404869
26129429,류호정내과,,S,의료,S01,병원,S01B07,내과/외과,Q86201,일반 의원,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,100,1,광주광역시 동구 계림동 100-1,2.91E+11,광주광역시 동구 필문대로,12,7,2.91E+24,금호타운,광주광역시 동구 필문대로 12-7,501080,61402,,1,,126.9211363,35.16404869
15499937,광주우리약국,,S,의료,S02,약국/한약방,S02A01,약국,G47811,의약품 및 의료용품 소매업,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,100,1,광주광역시 동구 계림동 100-1,2.91E+11,광주광역시 동구 필문대로,12,7,2.91E+24,금호타운,광주광역시 동구 필문대로 12-7,501802,61402,111,,1501,126.9228934,35.16315392
15779929,우리중앙마취통증의학과,,S,의료,S01,병원,S01B99,기타병원,,,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,100,1,광주광역시 동구 계림동 100-1,2.91E+11,광주광역시 동구 필문대로,12,7,2.91E+24,금호타운,광주광역시 동구 필문대로 12-7,501802,61402,109,,1901,126.922759,35.16253076
21281572,스위스약국,,S,의료,S02,약국/한약방,S02A01,약국,G47811,의약품 및 의료용품 소매업,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,100,11,광주광역시 동구 계림동 100-11,2.91E+11,광주광역시 동구 중앙로,358,,2.91E+24,금호계림주상복합,광주광역시 동구 중앙로 358,501751,61402,,,,126.9202537,35.16356308
21374135,김병호치과,,S,의료,S01,병원,S01B04,치과의원,Q86202,치과 의원,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,100,11,광주광역시 동구 계림동 100-11,2.91E+11,광주광역시 동구 중앙로,358,,2.91E+24,금호계림주상복합,광주광역시 동구 중앙로 358,501751,61402,,,,126.9202537,35.16356308
27693395,이민오외과,,S,의료,S01,병원,S01B07,내과/외과,Q86201,일반 의원,29,광주광역시,29110,동구,2911056000,계림1동,2911010900,계림동,2.91E+18,1,대지,1005,,광주광역시 동구 계림동 1005,2.91E+11,광주광역시 동구 서암대로,320,,2.92E+24,,광주광역시 동구 서암대로 320,501080,61401,,,,126.9183821,35.16480833
27689877,이현수한의원,,S,의료,S01,병원,S01B06,한의원,Q86203,한의원,29,광주광역시,29110,동구,2911056000,계림1동,2911010900,계림동,2.91E+18,1,대지,1010,,광주광역시 동구 계림동 1010,2.91E+11,광주광역시 동구 서암대로,326,1,2.92E+24,,광주광역시 동구 서암대로 326-1,501080,61401,,,,126.9191747,35.16463513
21287443,최치과의원,,S,의료,S01,병원,S01B04,치과의원,Q86202,치과 의원,29,광주광역시,29110,동구,2911056000,계림1동,2911010900,계림동,2.91E+18,1,대지,1011,,광주광역시 동구 계림동 1011,2.91E+11,광주광역시 동구 서암대로,328,,2.92E+24,,광주광역시 동구 서암대로 328,501080,61401,,,,126.9193515,35.16454657
21342426,원제당한약방,,S,의료,S01,병원,S01B06,한의원,Q86203,한의원,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,181,6,광주광역시 동구 계림동 181-6,2.91E+11,광주광역시 동구 중앙로,308,,2.91E+24,,광주광역시 동구 중앙로 308,501080,61413,,,,126.9208166,35.15916932
26034034,광일약국,,S,의료,S02,약국/한약방,S02A01,약국,G47811,의약품 및 의료용품 소매업,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,217,1,광주광역시 동구 계림동 217-1,2.91E+11,광주광역시 동구 계림로,28,2,2.91E+24,,광주광역시 동구 계림로 28-2,501080,61415,,,,126.9230268,35.15636763
21262523,이석종치과의원,,S,의료,S01,병원,S01B04,치과의원,Q86202,치과 의원,29,광주광역시,29110,동구,2911057000,계림2동,2911010900,계림동,2.91E+18,1,대지,250,68,광주광역시 동구 계림동 250-68,2.91E+11,광주광역시 동구 중앙로290번길,2,,2.91E+24,,광주광역시 동구 중앙로290번길 2,501080,61413,,,,126.9208936,35.15749342
